cue,constant1,timestamp,stimulus_coherence,response_time,response,constant2
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592418.634541,75.0,0.6234563749749213,1.0,1.0
2.0,30.0,592419.718514083,90.0,0.7892879579449072,1.0,1.0
2.0,30.0,592420.802524666,90.0,0.9606798749882728,2.0,1.0
2.0,30.0,592421.527521041,90.0,0.7635131250135601,1.0,1.0
2.0,30.0,592422.637533791,90.0,0.9510860829614103,2.0,1.0
2.0,30.0,592423.377512875,90.0,0.7719448750140145,1.0,1.0
2.0,30.0,592424.338514791,95.0,0.8116110409609973,1.0,1.0
2.0,30.0,592425.267507375,95.0,0.8210734999738634,1.0,1.0
2.0,30.0,592426.309496625,95.0,0.9402761249803007,2.0,1.0
2.0,30.0,592427.065504583,90.0,0.771604249952361,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592428.824497041,80.0,0.7046969579532743,1.0,1.0
2.0,30.0,592429.741493583,80.0,0.7063178329262882,1.0,1.0
2.0,30.0,592430.585503041,75.0,0.6334623750299215,1.0,1.0
2.0,30.0,592431.600492583,85.0,0.732616167049855,1.0,1.0
2.0,30.0,592432.573489041,90.0,0.7861865409649909,1.0,1.0
1.0,30.0,592433.447484291,85.0,0.744987333077006,1.0,-1.0
2.0,30.0,592434.227483958,70.0,0.614416875061579,1.0,1.0
2.0,30.0,592434.992482291,55.0,0.46007724991068244,1.0,1.0
2.0,30.0,592436.087486541,75.0,0.6337130829924718,1.0,1.0
2.0,30.0,592436.931469958,65.0,0.5605466670822352,1.0,1.0
2.0,30.0,592438.065470375,90.0,0.7714279170613736,1.0,1.0
2.0,30.0,592439.221456875,85.0,1.020231166970916,2.0,1.0
2.0,30.0,592439.960482083,100.0,0.8407283329870552,1.0,1.0
2.0,30.0,592441.067458291,80.0,1.0357672909740359,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592442.59651075,85.0,0.7316967500373721,1.0,1.0
2.0,30.0,592443.790459333,85.0,1.0086341670248657,2.0,1.0
2.0,30.0,592444.391450666,80.0,0.69043249997776,1.0,1.0
2.0,30.0,592445.333454708,85.0,0.7225590420421213,1.0,1.0
2.0,30.0,592446.345454,95.0,0.8194271250395104,1.0,1.0
2.0,30.0,592447.31644575,100.0,0.8701911669922993,1.0,1.0
2.0,30.0,592447.980452166,75.0,0.6246515830280259,1.0,1.0
2.0,30.0,592448.960444,80.0,0.6865428750170395,1.0,1.0
2.0,30.0,592449.994434291,95.0,0.799426208017394,1.0,1.0
2.0,30.0,592450.743436708,75.0,0.6354234999744222,1.0,1.0
2.0,30.0,592451.587429916,65.0,0.5592326660407707,1.0,1.0
